Question,Answer
What is the difference between a JIRA 'bug' and a 'task'?,"A 'bug' in JIRA is an issue related to a defect in the software, while a 'task' is a general unit of work or activity that needs to be completed."
What is continuous integration (CI) in the context of automated testing?,"Continuous integration is a practice where developers frequently commit code to a shared repository, triggering automated tests to ensure new changes do not break existing functionality."
In which scenario would denormalization be beneficial?,Denormalization is beneficial in reporting and analytical systems where read performance is critical and data updates are infrequent.
What is a recurrent neural network (RNN) used for in NLP?,"RNNs are used for processing sequential data, such as time series or sentences, by maintaining an internal state to remember previous inputs."
How does secure coding contribute to the SDLC?,"Secure coding practices ensure that developers write code that is free from common security vulnerabilities, such as SQL injection or buffer overflows."
What is the primary purpose of a state machine diagram?,A state machine diagram is used to model the states of an object and the transitions between those states based on events.
What is the purpose of code profiling in performance optimization?,Code profiling helps identify performance bottlenecks by measuring the time and memory usage of various parts of the code.
What makes HTTP a suitable protocol for traditional web applications?,"HTTP is stateless, meaning that each request is independent, which makes it ideal for web pages and REST APIs."
What is the main difference between JUnit and TestNG?,"JUnit is primarily used for unit testing and supports a simple model, whereas TestNG provides more flexibility with features like parallel test execution and support for a wider range of test types."
Why is it important to configure failure thresholds in circuit breakers?,"Failure thresholds determine when the circuit breaker should open, based on the number or rate of failures, which helps prevent a service from being overwhelmed."
What is the difference between Apache Hive and Apache Pig in terms of use cases?,"Apache Hive is best suited for performing SQL-like queries and analysis on structured data, while Apache Pig is designed for data transformation and complex data processing tasks."
How does LLVM optimize intermediate representations?,"LLVM applies a series of optimization passes on intermediate representations to improve performance, reduce size, and simplify the final code generation process."
What is the primary distinction between Functional Programming (FP) and Object-Oriented Programming (OOP)?,"The primary distinction is that FP emphasizes immutability, pure functions, and function composition, whereas OOP focuses on encapsulating state and behavior within objects and uses inheritance and polymorphism."
What is a binary tree?,"A binary tree is a tree data structure where each node has at most two children, usually referred to as the left and right child."
What does high availability mean in cloud computing?,"High availability refers to the ability of a system to remain operational and accessible with minimal downtime, even in the event of failures."
What is the primary purpose of penetration testing in cybersecurity?,Penetration testing is conducted to identify vulnerabilities in a system before malicious attackers can exploit them.
What is a Lazy Propagation technique in Segment Trees?,"Lazy propagation is a technique used in segment trees to delay updates to a segment until absolutely necessary, optimizing range update operations."
What is a Blue/Green deployment strategy?,"Blue/Green deployment involves running two production environments, one called 'Blue' and the other 'Green'. The Blue environment is live while the Green environment is used for testing new changes. Once the changes in Green are validated, the traffic is switched from Blue to Green."
What is the primary advantage of RabbitMQ over Kafka in event-driven systems?,"RabbitMQ provides more advanced routing capabilities, such as direct, topic, and fanout exchanges, making it more flexible for complex messaging patterns."
What is the time complexity of QuickSort in the average case?,"The average time complexity of QuickSort is O(n log n), where n is the number of elements in the array."
How do message queues like RabbitMQ support asynchronous communication?,Message queues like RabbitMQ support asynchronous communication by allowing services to send messages without waiting for a response. These messages are stored in the queue and can be processed later by other services.
What is the purpose of a gas fee in Ethereum smart contracts?,Gas fees are paid to the miners to incentivize them to validate and include transactions or smart contract operations in the blockchain.
What is the role of natural language processing (NLP) in AI-driven software development?,"NLP enables AI systems to understand and generate human language, which can be used in code documentation, bug reports, and even generating code based on descriptions."
What is round-robin load balancing?,"Round-robin load balancing is a simple algorithm that assigns requests to each server in a cyclic manner, one at a time."
What is a common challenge when deploying applications across multiple regions?,"A common challenge is ensuring data consistency across regions, particularly when the system needs to handle concurrent updates."
What is query refactoring in the context of database optimization?,"Query refactoring involves rewriting SQL queries to improve performance without changing the results, such as simplifying joins or using more efficient subqueries."
How does OAuth 2.0 work in API authentication?,"OAuth 2.0 works by allowing a third-party service to access user data without exposing user credentials, using access tokens and authorization grants."
What is the role of the 'half-open' state in a circuit breaker pattern?,"The 'half-open' state allows limited requests to go through, enabling the service to test whether it has recovered from a failure without overwhelming it."
How can technical debt affect software projects?,"Technical debt can increase the cost of maintaining the software, cause delays in adding new features, and lead to higher defect rates over time."
What is the purpose of a digital signature in asymmetric encryption?,A digital signature verifies the authenticity of the sender and ensures that the message has not been tampered with during transmission.
How does denormalization affect database performance?,"Denormalization improves performance by reducing the need for complex joins, which speeds up read operations but can slow down write operations due to data redundancy."
"Which of the following is true according to the CAP theorem: A system can guarantee Consistency, Availability, and Partition Tolerance at the same time?","According to the CAP theorem, a system cannot guarantee all three at the same time; it can only guarantee two of the three properties."
What is the role of a component diagram in UML?,A component diagram is used to represent the physical components of a system and their dependencies.
What are some common sharding strategies?,"Common sharding strategies include range-based sharding, hash-based sharding, and directory-based sharding, each with its advantages and trade-offs."
What is the key challenge of symmetric encryption?,The key challenge of symmetric encryption is securely distributing and managing the encryption key to all parties involved.
What is the primary purpose of a circuit breaker in microservices?,"The primary purpose of a circuit breaker is to prevent a service from making calls to a failing service, thereby allowing the system to fail gracefully and avoid cascading failures."
How does elasticity help optimize resource usage in cloud environments?,"Elasticity automatically adjusts resources in real-time based on demand, helping optimize usage and costs by ensuring resources are only provisioned when needed."
What is the significance of HTTP status code 200 in a REST API response?,HTTP status code 200 indicates that the request was successful and the server has returned the requested data.
What type of profiling can be done with VisualVM?,"VisualVM supports both CPU and memory profiling, allowing developers to analyze application performance in real-time and identify bottlenecks."
"What is API versioning, and why is it important for scalability?",API versioning allows you to release updates and new features without breaking existing applications that rely on older versions of the API.
What is the purpose of including a Content-Type header in a REST API request?,"The Content-Type header specifies the format of the data being sent to the server, such as JSON or XML."
What are collision detection and collision response in game physics?,"Collision detection is the process of identifying when two objects collide, and collision response determines how the objects react to the collision, such as bouncing or stopping."
How does CQRS improve performance in microservices?,"By separating read and write operations, CQRS reduces contention and improves scalability for high-demand systems."
What is the Decorator design pattern?,The Decorator pattern allows you to dynamically add behavior or responsibilities to an object without affecting other objects of the same class.
How does a digital signature work?,"A digital signature uses a private key to sign a message, and the corresponding public key is used to verify the authenticity of the signature and the integrity of the message."
What is the concept of decentralization in blockchain?,"Decentralization in blockchain means that no single entity controls the entire network, and all participants share control through distributed consensus."
What is Zero Trust Architecture?,"Zero Trust Architecture is a security model that assumes no one, inside or outside the network, is trusted by default and requires strict verification for all users and devices attempting to access resources."
What is the primary benefit of an RTM in project management?,The primary benefit of an RTM is that it ensures complete test coverage by tracking each requirement against a test case.
Why is logging and monitoring important for cloud security?,"Logging and monitoring provide visibility into user activity and system performance, helping to detect and respond to potential security threats in real-time."
What is the main difference between symmetric and asymmetric encryption?,"Symmetric encryption uses a single key for both encryption and decryption, while asymmetric encryption uses a public key for encryption and a private key for decryption."
How does Cassandra achieve high availability?,"Cassandra achieves high availability through a decentralized architecture, with each node in the cluster being equal, and data replication across multiple nodes."
What is the Adapter pattern in software design?,The Adapter pattern allows incompatible interfaces to work together by providing a wrapper that translates between them.
What is the main advantage of Paxos over Raft in distributed consensus?,"Paxos is more flexible and can operate with fewer restrictions on the number of nodes in the system, providing more scalability."
How do side effects work in Functional Programming?,"In FP, functions are designed to be pure, meaning they don't cause side effects like modifying external states or variables."
What does it mean for a REST API to be stateless?,"Being stateless means that each request from the client to the server must contain all the information the server needs to fulfill the request, and the server doesn't store any state between requests."
What is the time complexity for querying a range in a Segment Tree?,"The time complexity for querying a range in a segment tree is O(log n), where n is the size of the array."
What is a common limitation of recursion?,A common limitation of recursion is the risk of stack overflow when the recursion depth is too large.
How does refactoring contribute to faster development cycles?,"Refactoring contributes to faster development cycles by creating a cleaner, more maintainable codebase, which reduces the time spent fixing bugs or handling technical debt."
What type of processing is more suitable for time-sensitive applications like online fraud detection?,Stream processing is more suitable for time-sensitive applications like online fraud detection because it provides real-time data processing and immediate insights.
What are the principles behind Service-Oriented Architecture?,"SOA is based on principles like loose coupling, service reusability, interoperability, and abstraction of underlying technology."
What is the purpose of lexical analysis in a compiler?,"Lexical analysis breaks down the source code into tokens, which are the smallest units of meaning, such as keywords, operators, and identifiers."
What does the Observer pattern do in software design?,The Observer pattern defines a one-to-many dependency relationship where a single object (the subject) notifies multiple dependent objects (observers) of state changes.
What is the purpose of a database index?,A database index is used to speed up query processing by providing a fast way to look up data based on indexed columns.
What is one of the key benefits of refactoring code?,"Refactoring improves code readability, making it easier for developers to understand and maintain the software over time."
What role does Consul play in Microservices service discovery?,"Consul is a tool that provides both service discovery and key-value storage, enabling services to register and discover each other."
Which deployment model is most suitable for a company that needs to keep some data private but also requires scalability for other applications?,"A hybrid cloud model is ideal for companies with varying data sensitivity needs, as it combines both private and public cloud elements."
What are the key challenges in implementing Differential Privacy in real-world applications?,"Key challenges include balancing the privacy-accuracy trade-off, ensuring data utility, and adapting differential privacy techniques to different datasets and applications."
What are the main components of a JWT token?,"A JWT consists of three parts: the header, payload, and signature, each serving different roles in authentication and validation."
How does deployment work in a monolithic architecture?,"In a monolithic architecture, the entire application is deployed as a single unit, often requiring redeployment of the entire application when changes are made."
What is a greedy algorithm and when is it useful?,"A greedy algorithm makes the locally optimal choice at each step, aiming for a global optimum. It's useful for problems where the locally optimal choices lead to an optimal solution, like in the case of coin change or minimum spanning trees."
"In the context of real-time systems, what is a deadline?",A deadline in real-time systems refers to the latest time by which a task must be completed to ensure the system's correct functioning.
"What are the benefits of using infrastructure as code (IaC) in configuration management tools like Ansible, Chef, and Puppet?","IaC allows teams to define, provision, and manage infrastructure through code, improving automation, consistency, and repeatability."
What is a bad smell in code that might indicate the need for refactoring?,"A common 'code smell' is duplicated code, where similar logic appears in multiple places, making it hard to maintain and update."
"What is SQL Injection, and why is it dangerous?","SQL Injection is a vulnerability that allows an attacker to manipulate SQL queries by injecting malicious SQL code, which can lead to unauthorized access to a database."
How does a stack manage the order of elements?,"A stack uses a Last In, First Out (LIFO) principle, meaning the last element added is the first one to be removed."
What is the difference between rule-based and AI-powered chatbots?,"Rule-based chatbots follow predefined scripts and cannot adapt to new inputs, while AI-powered chatbots use machine learning to understand and respond to a wide range of queries."
What is Zero-Knowledge Proof (ZKP)?,A Zero-Knowledge Proof is a cryptographic method where one party can prove to another that they know a value without revealing the value itself.
What is a use case for Redis' sorted sets?,"Redis' sorted sets are ideal for applications requiring a ranked, ordered list, such as leaderboards or real-time ranking systems."
Which of the following is true about recursion and iteration?,"Recursion is often more elegant and easier to understand for problems involving repeated subproblems, like in divide and conquer algorithms."
"What is lattice-based cryptography, and why is it considered a promising approach for PQC?","Lattice-based cryptography relies on the hardness of problems like the Shortest Vector Problem, which are resistant to quantum algorithms, making them ideal for PQC."
What is Terraform used for in IaC?,"Terraform is a tool that allows you to define, provision, and manage infrastructure as code across multiple cloud providers using a declarative configuration language."
What makes AWS Lambda a suitable solution for microservices architectures?,"AWS Lambda supports serverless computing, making it ideal for running independent, event-driven microservices without managing infrastructure."
What is the role of sampling in distributed tracing?,"Sampling controls how many requests are traced by the system, helping balance between performance and visibility."
What is the time complexity of Bubble Sort in the worst case?,The time complexity of Bubble Sort in the worst case is O(n^2).
What is a test suite in the context of CI/CD?,A test suite is a collection of automated tests that are executed to verify the functionality of the application after each code change.
What is the Rate-Monotonic Scheduling algorithm used for?,"Rate-Monotonic Scheduling assigns priorities based on the frequency of tasks, with shorter tasks having higher priority."
What is a Canary release?,"A Canary release involves gradually rolling out a new version of an application to a small subset of users before making it available to the entire user base, helping to mitigate risks associated with deployment."
What is the key advantage of using a Data Warehouse over a Data Lake?,"A Data Warehouse is optimized for fast querying and reporting of structured data, offering high performance for business intelligence tasks."
What is the role of firewalls in cloud security?,"Firewalls help filter and control incoming and outgoing network traffic, preventing unauthorized access and attacks."
What is sharding in the context of databases?,"Sharding is the process of splitting a large database into smaller, more manageable pieces, called shards, to distribute the load and improve scalability."
How does function composition work in Functional Programming?,"Function composition involves combining multiple functions to produce a new function, where the output of one function becomes the input of the next."
How does Ansible differ from Chef and Puppet in terms of architecture?,"Ansible is agentless, using SSH to manage configurations, while Chef and Puppet require agents to be installed on target nodes."
What is the purpose of a feature toggle in deployment strategies?,"Feature toggles allow developers to deploy code with new features hidden behind configuration flags, enabling them to activate or deactivate features without needing to redeploy the application."
"What is the purpose of using access modifiers like private, protected, and public in encapsulation?","Access modifiers allow us to define the visibility of variables and methods, ensuring that certain data is kept private while others are accessible to outside classes."
What are the main goals of Secure Multi-Party Computation?,"The main goals of SMPC are to preserve data privacy, provide correctness in computation, and ensure that no party learns anything beyond the final result."
How does the leader election process work in consensus protocols?,"In leader election, nodes in the system vote for a leader, and the node with the majority of votes becomes the leader responsible for coordinating operations."
What is a canary deployment?,A canary deployment gradually rolls out a new model to a small subset of users to monitor its performance before releasing it to everyone.
What is eventual consistency in event-driven systems?,Eventual consistency is a consistency model where updates to services may not be immediately visible to all parts of the system but will eventually propagate across all services.
"What is rate limiting, and why is it important in scalable API design?","Rate limiting controls how many requests a user can make in a given time period, protecting the API from overload and ensuring fair resource distribution."
What is the role of reliability modeling in software maintenance?,"Reliability modeling helps predict and manage the expected failures in a system, aiding in proactive maintenance and optimization."
What is the time complexity of Binary Search?,The time complexity of Binary Search is O(log n) because the search space is halved with each step.
What is the time complexity of accessing an element in an array by index?,"The time complexity of accessing an element by index in an array is O(1), also known as constant time."
What is a race condition in multithreading?,"A race condition occurs when two or more threads access shared resources concurrently, and the outcome depends on the non-deterministic order of execution."
What type of documents can Sphinx generate?,"Sphinx can generate HTML, LaTeX, and PDF documents from reStructuredText files."
"What is a genetic algorithm, and how does it work in optimization problems?","A genetic algorithm is an optimization technique inspired by the process of natural selection. It works by selecting individuals (solutions), combining them through crossover, and introducing mutations to evolve better solutions over generations."
What role does Fog Computing play in network traffic management for IoT?,"Fog computing helps manage network traffic by processing data at the edge, reducing the amount of traffic that needs to be sent to the cloud, thus alleviating network congestion."
What is a smart contract?,"A smart contract is a self-executing contract with the terms of the agreement directly written into code, automatically enforcing the rules and regulations of the contract once certain conditions are met."
What is the key difference between Greedy algorithms and Dynamic Programming?,"The key difference is that Greedy algorithms make locally optimal choices at each step, whereas Dynamic Programming solves the problem by considering all subproblems and using optimal substructure."
What is the role of authentication in IoT security?,"Authentication ensures that only authorized users and devices can access and communicate with IoT systems, preventing unauthorized access."
How does Shor's Algorithm improve upon classical factoring methods?,"Shor's Algorithm improves by using quantum mechanics to find the periodicity of a function, which leads to an exponentially faster factorization process compared to classical methods."
What are some challenges of implementing real-time systems?,"Challenges include meeting strict timing constraints, managing resource allocation, and ensuring reliability under high workloads."
"What is Cross-Site Scripting (XSS), and how does it affect web applications?","XSS allows attackers to inject malicious scripts into webpages, which are then executed in users' browsers, often stealing cookies or session tokens."
What is an Event Stream in Reactive Programming?,"An Event Stream is a sequence of events or data that occur over time, which can be observed and acted upon using Reactive Programming principles."
What are some common approaches for scaling APIs?,"Common approaches include load balancing, caching, database sharding, and using microservices to distribute workloads."
What is the purpose of social engineering in penetration testing?,Social engineering tests how vulnerable an organizationâ€™s employees are to manipulation in order to gain access to sensitive information or systems.
How does Redis handle pub/sub messaging?,Redis provides a lightweight Publish/Subscribe (pub/sub) system where clients can subscribe to channels and receive messages pushed by publishers.
How does Dijkstra's algorithm work?,Dijkstra's algorithm finds the shortest path from a starting node to all other nodes by repeatedly selecting the node with the smallest known distance.
How is the Requirements Traceability Matrix created?,The RTM is created by mapping each requirement to its corresponding test case and ensuring that all requirements have associated tests.
"What is an API Gateway, and what role does it play in a microservices architecture?","An API Gateway is a server that acts as an entry point for all client requests, routing them to the appropriate backend services, and handling concerns like load balancing, authentication, and rate limiting."
What is the role of task prioritization in job scheduling?,"Task prioritization helps to ensure that high-priority tasks are executed first, improving the overall system efficiency and responsiveness."
What is a major advantage of using iteration over recursion?,Iteration generally uses less memory than recursion because it doesnâ€™t require the function call stack.
How do side effects work in Functional Programming?,"In FP, functions are designed to be pure, meaning they don't cause side effects like modifying external states or variables."
What is the time complexity of MergeSort?,"MergeSort has a time complexity of O(n log n) in all cases (best, worst, and average)."
What is the main purpose of garbage collection in programming languages like Java?,"The main purpose of garbage collection is to automatically reclaim memory by freeing up unused objects, preventing memory leaks and improving performance."
What is the difference between 3NF and BCNF?,"BCNF is a stricter version of 3NF where every determinant must be a candidate key, eliminating potential anomalies that 3NF doesnâ€™t address."
What is Binary Search and when can it be used?,Binary Search is an efficient searching algorithm that works on sorted arrays by repeatedly dividing the search interval in half.
What is meant by Availability in the context of CAP Theorem?,"Availability means that every request to the system will receive a response, even if some of the systemâ€™s nodes are unavailable."
What is the time complexity of searching for an element in an unsorted array?,"The time complexity of searching for an element in an unsorted array is O(n), as each element must be checked."
What is the primary advantage of using Memcached for caching?,"Memcached is highly efficient at caching simple key-value pairs in memory, and it is well-suited for applications that require fast, temporary data storage."
What does a span represent in distributed tracing?,"A span represents a single operation or unit of work in a distributed system, such as a request to a service or a database query."
What is the purpose of Selenium in automated testing?,Selenium is used for automating web applications for testing purposes. It allows testers to write tests in multiple programming languages and simulate user interactions with web browsers.
What is the role of an enterprise service bus (ESB) in enterprise architecture?,An ESB facilitates communication between different applications and services by providing a messaging layer that enables loose coupling and standardized communication.
What are some popular API Gateways used in microservices architectures?,"Popular API Gateways include Kong, Zuul, and NGINX, which help route and manage requests in a microservices architecture."
How can you optimize a bubble sort algorithm?,"You can optimize bubble sort by introducing a flag to detect whether any elements were swapped during the pass. If no swaps occur, the algorithm can terminate early."
How can Code Churn be used to predict software quality?,"Code Churn can be used to predict software quality by identifying areas of the code that are frequently changed, which may indicate areas of instability or technical debt."
What is the goal of system testing?,System testing involves testing the entire software system as a whole to verify that it meets the specified requirements and functions as expected.
What is the role of entanglement in Quantum Cryptography?,"Entanglement in quantum cryptography allows two particles to be correlated in such a way that measuring one particle instantly determines the state of the other, which is crucial for secure communication."
What is Secure Multi-Party Computation (SMPC)?,Secure Multi-Party Computation (SMPC) is a cryptographic technique that allows multiple parties to collaboratively compute a function over their combined data without revealing their individual inputs.
What are the key steps in the TDD cycle?,"The key steps in TDD are: 1) Write a test, 2) Run the test and see it fail, 3) Write code to pass the test, 4) Refactor the code, 5) Repeat."
What is the key advantage of using a skip list over a balanced binary search tree?,"Skip lists are easier to implement and have simpler balancing mechanisms compared to balanced binary search trees, making them more flexible for certain applications."
What is the primary difference between a stack and a queue?,"A stack follows the LIFO principle, whereas a queue follows the FIFO principle. In a stack, the last item added is the first one to be removed, and in a queue, the first item added is the first to be removed."
What is the main difference between a thread and a process?,"A thread is the smallest unit of execution within a process, whereas a process is an independent program in memory with its own resources."
What is the key difference between Apache Spark and Apache Hadoop?,"The key difference is that Apache Spark performs in-memory data processing, which makes it faster for certain workloads compared to Hadoopâ€™s disk-based MapReduce processing."
What is the primary purpose of RxJava in reactive programming?,RxJava is a framework that helps manage asynchronous data streams by providing operators that allow easy composition of these streams.
What is a Scrum sprint in Agile methodology?,"A Scrum sprint is a fixed period, usually 1-4 weeks, where a team works on a set of tasks from the product backlog to achieve specific goals."
What does partition tolerance mean in the context of the CAP theorem?,"Partition tolerance means that the system can still function correctly even when network partitions occur, and some nodes cannot communicate with others."
How do chatbots contribute to software application scalability?,"Chatbots allow software applications to handle multiple user interactions simultaneously, reducing the need for human intervention and improving scalability."
What is the advantage of using TestNG over JUnit?,"TestNG offers more flexible configuration options, including the ability to run tests in parallel, create groups of tests, and prioritize tests, making it better suited for complex test suites."
What is the primary goal of code coverage in software testing?,"The primary goal of code coverage is to measure the extent to which the source code is executed when the tests run, ensuring that all parts of the code are tested."
How does the exploration-exploitation trade-off work in Reinforcement Learning?,The exploration-exploitation trade-off refers to balancing the agent's need to explore new actions (exploration) and to exploit the best-known action (exploitation) to maximize rewards over time.
How does Zero Trust Architecture enhance cloud security?,"Zero Trust Architecture enhances cloud security by ensuring that every access request is authenticated and authorized, regardless of where the request is coming from, effectively reducing attack surfaces."
What is the function of a parser in compiler design?,"A parser takes the tokens produced by lexical analysis and builds a syntax tree, verifying that the structure of the code follows the languageâ€™s grammar."
What is meant by 'scaling' in the context of Monolithic Architecture?,"Scaling in monolithic architecture refers to the process of adding more resources to the application, such as more servers or databases, to handle increased load."
What is the difference between horizontal scaling and vertical scaling?,"Horizontal scaling involves adding more machines to distribute the load, while vertical scaling involves adding more resources (CPU, memory) to a single machine."
When would you choose batch processing over stream processing?,"Batch processing is chosen when continuous, real-time data processing is unnecessary and only large, pre-collected datasets are needed."
What is the purpose of unit testing in software development?,"Unit testing helps ensure that individual parts of the code work as expected, making it easier to identify bugs early in development."
What is path compression in Union-Find?,"Path compression is an optimization that flattens the structure of the tree whenever a 'find' operation is performed, making future finds faster."
What is Just-In-Time (JIT) compilation?,"Just-In-Time (JIT) compilation is a process where code is compiled into machine code during runtime, just before execution, which can improve performance by optimizing code for the current execution environment."
Which of these refactoring tools is specifically designed for Java?,IntelliJ IDEA and Eclipse are two popular refactoring tools specifically designed for Java development.
What is the purpose of the HTTP POST method in a REST API?,The POST method is used to send data to the server to create new resources or trigger actions.
What is a memory leak in the context of garbage collection?,"A memory leak occurs when a program fails to release memory that is no longer needed, causing the application to consume increasing amounts of memory over time."
How does Event Sourcing support auditability?,"Event sourcing inherently supports auditability because every state change is captured as an event, providing a full history of operations."
How does Docker enable CI/CD pipelines?,"Docker enables CI/CD pipelines by allowing developers to create container images that can be consistently tested, built, and deployed across environments."
What is the main challenge in data streaming at the edge?,The main challenge is managing the large volume of real-time data while ensuring low latency and minimizing bandwidth usage.
What is the primary use of a Collaboration Diagram in UML?,"A Collaboration Diagram is used to show the interactions between objects and the sequence of messages in a system, focusing on the relationships."
What is the relationship between CQRS and Event Sourcing?,"CQRS and event sourcing often go hand in hand: CQRS separates read and write models, and event sourcing provides an event-driven way to store and reconstruct state for the write side."
What is a zero-day vulnerability?,A zero-day vulnerability is a flaw in software that is unknown to the vendor and has no patch available when it is discovered.
What are the main benefits of JIT compilation?,The main benefits of JIT compilation include faster execution times due to runtime optimization and better adaptation to the current execution environment.
What does a dashed line with an open arrow represent in a sequence diagram?,"A dashed line with an open arrow represents a return message, showing the response from one object to another in a sequence diagram."
What is the purpose of using a hashing function in data structures?,"A hashing function maps data to a fixed-size value, typically a hash code, to allow for fast data retrieval in data structures like hash tables."
How does CircleCI help improve CI/CD workflows?,"CircleCI automates the entire CI/CD pipeline, from building and testing code to deploying it across multiple environments, with an emphasis on parallelism and speed."
What is Infrastructure as Code (IaC)?,"Infrastructure as Code (IaC) is the practice of managing and provisioning infrastructure using machine-readable configuration files, rather than through physical hardware or interactive configuration tools."
How does Kubernetes handle scaling of applications?,"Kubernetes automatically scales applications by adjusting the number of Pods based on resource utilization and demand, using features like Horizontal Pod Autoscaling."
What is SQL injection and how can it be prevented?,SQL injection occurs when an attacker is able to manipulate SQL queries through unsanitized user input. It can be prevented by using parameterized queries or prepared statements.
How does a hybrid cloud model offer flexibility in terms of workload distribution?,"A hybrid cloud allows workloads to be distributed between private and public clouds, depending on security needs and resource requirements."
What is the purpose of requirements analysis in software engineering?,Requirements analysis is the process of understanding and defining what the users need from a system to ensure that the software meets their expectations.
"What is quantum decoherence, and why is it a challenge for quantum computing?","Quantum decoherence occurs when quantum systems lose their quantum properties due to interactions with their environment, making it harder to maintain superposition and entanglement for computation."
How does multi-region deployment contribute to disaster recovery?,"Multi-region deployment enables rapid failover to another region in case of a disaster, minimizing service interruptions."
What is branch coverage in testing?,Branch coverage ensures that every possible branch (true/false path) of every decision point in the program is executed during testing.
What is referential transparency in functional programming?,"Referential transparency means that an expression can be replaced with its value without changing the program's behavior, which is a hallmark of pure functions."
How does HDFS ensure fault tolerance?,"HDFS ensures fault tolerance by replicating each data block across multiple nodes in the cluster, so if one node fails, the data is still available from another node."
What is overfitting in machine learning?,"Overfitting occurs when a model learns not only the underlying patterns but also the noise and anomalies in the training data, making it perform poorly on new data."
What is Amazon RDS and how is it different from EC2?,"Amazon RDS (Relational Database Service) is a managed database service, while EC2 is a compute service for running virtual servers."
What is data parallelism in high-performance computing?,Data parallelism involves distributing data across multiple computing units and performing the same operation on each chunk of data concurrently.
What is the cost of ignoring technical debt?,"Ignoring technical debt can lead to increased maintenance costs, slower development, and a higher risk of defects in the software."
What is Docker used for in software development?,"Docker is used to package applications and their dependencies into containers, making it easier to deploy and run them consistently across different environments."
Which refactoring technique is commonly supported by IDEs?,"Common refactoring techniques in IDEs include Extract Method, Rename Variable, and Inline Method."
What is an Observable in Reactive Programming?,"An Observable is a data structure that allows you to subscribe to a stream of data, and it emits values over time to all its observers."
How does the business logic layer function in Layered Architecture?,"The business logic layer contains the core functionality of the application, processing data, making decisions, and executing business rules."
What is the First-Come-First-Served (FCFS) scheduling algorithm?,"FCFS is a simple scheduling algorithm where tasks are executed in the order they arrive, without considering priority."
How does JProfiler help identify memory leaks?,"JProfiler provides memory profiling that tracks object allocations and references, helping to identify memory leaks by showing memory consumption over time."
How does Event Sourcing ensure data consistency?,"Event sourcing ensures data consistency by storing each state change as an event, allowing for full auditing and reliable reconstruction of the state."
When should you refactor code during development?,"Refactor code when new functionality is added, if the existing code becomes harder to understand or extend."
What does the Maintainability Index measure?,"The Maintainability Index is a software metric that provides a numerical value indicating how easy it is to maintain a codebase, based on factors like complexity, readability, and documentation."
